Age,Ville,Sexe,specialite_BAC,Nationale,Regional,Generale,Francais,Anglais,Loisirs,preferee,detestee,Skills,specialite,performance,satisfaction
25,fes,Homme,SVT,"12,7","16,5",12,Fluent,Fluent,"Lecture,Sport,Musique,Voyage,Ecriture",Biologie,Mathematiques,"Communication,Travailenequipe,Creativite,Resolutiondeproblmes,Leadership,Espritcritique,Autonomie",Droit,6,3
20,mohammedia,Homme,SP,13,"14,8",14,Avance,Debutant,Sport,Physique,Litterature,"Travailenequipe,Gestiondutemps,Autonomie",Ingenierie,6,4
18,fes,Femme,SM,"11,27","17,45","14,57",Fluent,Intermediaire,"Voyage,Benevolat,Ecriture,Debat-publicspeaking",Mathematiques,Informatique,"Communication,Travailenequipe,Adaptabilite,Creativite,Resolutiondeproblmes,Empathie,Espritcritique,Autonomie",Economie,8,4
20,fes,Femme,SP,10,16,13,Avance,Intermediaire,"Sport,Voyage,Cinema,Photographie",Physique,Mathematiques,"Communication,Travailenequipe,Creativite,Leadership",Economie,7,5
23,sale,Homme,SVT,"14,21",9,"13,25",Intermediaire,Intermediaire,"Musique,Voyage,Benevolat",Mathematiques,,"Communication,Travailenequipe,Creativite",Economie,7,4
28,fes,Homme,SVT,13,15,14,Intermediaire,Fluent,"Lecture,Cinema,Jeuxvideo",Langues,Physique,"Gestiondutemps,Adaptabilite,Leadership",Sciences humaines et sociales,7,5
18,rabat,Femme,SVT,"7,6","16,9","12,54",Intermediaire,Intermediaire,"Lecture,Sport,Musique",Histoire,Mathematiques,"Communication,Travailenequipe,Adaptabilite,Creativite,Leadership,Empathie",Economie,4,2
19,tanger,Femme,SE,"11,77","13,65",12,Avance,Avance,"Lecture,Musique,Technologie,Photographie",Langues,Mathematiques,"Communication,Creativite,Leadership,Autonomie",Economie,4,4
21,rabat,Femme,SP,17,17,"17,8",Avance,Intermediaire,"Lecture,Sport,Voyage,Benevolat,Technologie,Photographie",Informatique,Histoire,"Communication,Travailenequipe,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie",Ingenierie,8,4
22,meknes,Homme,SP,11,"15,75","13,37",Avance,Intermediaire,"Voyage,Jeuxvideo,Benevolat",Biologie,Mathematiques,"Communication,Travailenequipe,Gestiondutemps",Droit,9,5
24,khouribga,Femme,SP,17,17,17,Avance,Avance,"Lecture,Musique,Technologie",Informatique,Physique,"Communication,Travailenequipe,Gestiondutemps,Creativite,Resolutiondeproblmes,Leadership,Autonomie",Informatique,9,5
24,agadir,Homme,SVT,"9,26","12,6","10,76",Intermediaire,Intermediaire,"Sport,Technologie",Biologie,Histoire,"Communication,Gestiondutemps,Resolutiondeproblmes,Espritcritique",Biologie,1,3
23,fes,Homme,SP,"13,5","15,5",13,Avance,Intermediaire,"Lecture,Sport,Musique,Voyage,Photographie",Physique,Mathematiques,"Communication,Travailenequipe,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie",Ingenierie,6,4
20,mohammedia,Homme,SM,"12,35","18,5","14,89",Intermediaire,Intermediaire,"Musique,Cinema,Technologie",Informatique,Chimie,"Travailenequipe,Adaptabilite,Espritcritique",Ingenierie,6,2
22,sefrou,Femme,SE,"12,6","13,25","13,51",Avance,Debutant,"Musique,Voyage",Langues,Histoire,"Communication,Travailenequipe,Gestiondutemps,Adaptabilite,Resolutiondeproblmes,Leadership",Economie,8,4
18,safi,Homme,SP,"17,2","16,8","17,32",Avance,Intermediaire,"Sport,Cinema,Jeuxvideo",Physique,,"Communication,Resolutiondeproblmes,Leadership",Medecine,8,5
25,khouribga,Femme,SP,12,"16,9","13,23",Avance,Intermediaire,"Musique,Voyage,Cinema,Photographie",Biologie,,"Creativite,Empathie,Autonomie",Biologie,7,3
20,oujda,Femme,SP,16,17,16,Avance,Avance,"Cinema,Photographie",Biologie,Mathematiques,"Communication,Gestiondutemps,Adaptabilite,Leadership",Economie,7,3
21,casa,Homme,SH,16,15,15,Avance,Avance,"Sport,Musique,Voyage,Jeuxvideo,Ecriture",Langues,Physique,"Communication,Travailenequipe,Gestiondutemps,Resolutiondeproblmes,Leadership,Espritcritique",Sciences politiques,6,3
18,rabat,Homme,SE,"12,52","15,95","14,08",Intermediaire,Avance,"Sport,Musique,Voyage",Histoire,Mathematiques,"Travailenequipe,Leadership,Empathie",Economie,8,5
18,fes,Femme,SE,"15,58","16,98",16,Avance,Intermediaire,"Voyage,Jeuxvideo,Artsplastiques,Photographie",Informatique,Mathematiques,"Travailenequipe,Adaptabilite,Autonomie",Economie,7,4
18,fes,Femme,SP,"14,2","16,15","15,76",Avance,Intermediaire,"Lecture,Musique,Voyage",Mathematiques,Biologie,"Travailenequipe,Gestiondutemps,Adaptabilite",Economie,8,4
18,fes,Homme,SM,"11,5","15,8","12,42",Avance,Fluent,"Sport,Jeuxvideo,Technologie",Mathematiques,Philosophie,"Adaptabilite,Creativite,Resolutiondeproblmes,Leadership,Empathie,Espritcritique,Autonomie,Zawordo",Economie,7,2
18,fes,Femme,SP,"14,58","17,1","16,06",Avance,Intermediaire,"Lecture,Musique,Photographie",Biologie,Mathematiques,"Travailenequipe,Gestiondutemps,Espritcritique",Economie,7,4
18,fes,Femme,SP,"15,76","16,35","16,63",Avance,Intermediaire,"Musique,Voyage,Cinema",Biologie,Mathematiques,"Communication,Travailenequipe,Adaptabilite,Leadership,Espritcritique,Autonomie",Economie,5,2
18,sefrou,Femme,SGC,"14,67","16,48","15,52",Avance,Intermediaire,"Musique,Voyage,Photographie",Comptabilite,Mathematiques,Travailenequipe,Economie,8,4
